Folio,Screening,CLT iniciado,HUT_FOLIO,Código 1,Código 2,Código 3,Resultado migración
NAV-001,PASSED,NO,HUT-001,JQN8,8V3B,MYHC,MIGRAR
NAV-004,PASSED,NO,HUT-004,B3M3,M929,UAW7,MIGRAR
NAV-005,PASSED,NO,HUT-005,GFTU,PBEK,AX64,MIGRAR
NAV-007,PASSED,NO,HUT-007,2SNX,MBUQ,MWB8,MIGRAR
NAV-008,PASSED,NO,HUT-008,MACA,G7K2,V8P3,MIGRAR
NAV-009,PASSED,NO,,FD9Y,FKRY,G3W2,MIGRAR
NAV-010,PASSED,NO,,VM2P,UTS4,8ZB6,MIGRAR
NAV-011,PASSED,NO,HUT-011,38FQ,FW2F,JSEC,MIGRAR
NAV-012,PASSED,NO,HUT-012,JGTB,HYWE,G9RR,MIGRAR
NAV-013,PASSED,NO,HUT-013,EKPE,VF88,BQUN,MIGRAR
NAV-014,PASSED,NO,HUT-014,NX6E,8VHF,K8Y3,MIGRAR
NAV-015,PASSED,NO,HUT-015,AUHH,6PP2,W2UQ,MIGRAR
NAV-016,PASSED,NO,HUT-016,QPUP,M4TK,78TV,MIGRAR
NAV-017,PASSED,NO,HUT-017,XRXR,P33D,H8Z2,MIGRAR
NAV-018,PASSED,NO,HUT-018,AH3G,287H,SCJ3,MIGRAR
NAV-019,PASSED,NO,HUT-019,ECNK,FHBZ,C8PA,MIGRAR
NAV-020,PASSED,NO,HUT-020,G3GZ,D2UG,QU2R,MIGRAR
NAV-021,PASSED,NO,HUT-021,PDC7,MTMV,7AJR,MIGRAR
NAV-022,PASSED,NO,HUT-022,ETZJ,7ERY,AVVS,MIGRAR
NAV-023,PASSED,NO,HUT-023,HW2U,T8MG,38VJ,MIGRAR
NAV-024,PASSED,NO,HUT-024,TMUG,SHYB,ST97,MIGRAR
NAV-025,PASSED,NO,HUT-025,37NC,2JZ8,368V,MIGRAR
NAV-026,PASSED,NO,HUT-026,CT9S,W7BA,HEQR,MIGRAR
NAV-027,PASSED,NO,HUT-027,VN7H,YTRW,7QW8,MIGRAR
NAV-028,PASSED,NO,HUT-028,KXSS,GMYW,2M2S,MIGRAR
NAV-029,PASSED,NO,HUT-029,87HV,8GN8,CPMG,MIGRAR
NAV-030,PASSED,NO,HUT-030,6J3G,KXVF,48KJ,MIGRAR
NAV-031,PASSED,NO,HUT-031,3RMN,Z739,3SUR,MIGRAR
NAV-032,PASSED,NO,HUT-032,K3JB,MWQU,K4GZ,MIGRAR
NAV-033,PASSED,NO,HUT-033,GQTS,DKGB,ZBW3,MIGRAR
NAV-034,PASSED,NO,HUT-034,F44G,F48G,X9SK,MIGRAR
NAV-035,PASSED,NO,HUT-035,2KRF,V7DY,6SMF,MIGRAR
NAV-036,PASSED,NO,HUT-036,EQZX,X3HS,826T,MIGRAR
NAV-037,PASSED,NO,HUT-037,8M4S,N6EG,UM8C,MIGRAR
NAV-038,PASSED,NO,HUT-038,BS24,KDJH,8VYE,MIGRAR
NAV-039,PASSED,NO,HUT-039,PAKC,EZ4B,SY6V,MIGRAR
NAV-040,PASSED,NO,HUT-040,UGXJ,BN7U,UBVT,MIGRAR
NAV-042,PASSED,NO,HUT-042,6STK,QTHP,3DUP,MIGRAR
NAV-043,PASSED,NO,HUT-043,FYC8,7MPY,AG26,MIGRAR
NAV-044,PASSED,NO,HUT-044,RMVK,NMVQ,UKCU,MIGRAR
NAV-045,PASSED,NO,HUT-045,CT4B,JDTX,N8B9,MIGRAR
NAV-046,PASSED,NO,HUT-046,NFBS,RTTN,USDR,MIGRAR
NAV-047,PASSED,NO,HUT-047,XSW6,87Q4,BY9Y,MIGRAR
NAV-048,PASSED,NO,HUT-048,NUU7,2PPB,AM3U,MIGRAR
NAV-049,PASSED,NO,HUT-049,VUG8,3K2N,3G76,MIGRAR
NAV-050,PASSED,NO,HUT-050,GS68,C36F,SXPT,MIGRAR
NAV-051,PASSED,NO,HUT-051,VFAM,UJRC,WS8H,MIGRAR
NAV-052,PASSED,NO,HUT-052,9VEG,7JH3,QVX4,MIGRAR
NAV-053,PASSED,NO,,BRH4,MEXP,DSQJ,MIGRAR
NAV-054,PASSED,NO,HUT-054,KRNV,8MZK,Q2E7,MIGRAR
NAV-055,PASSED,NO,HUT-055,EGHS,2WK2,2U6W,MIGRAR
NAV-056,PASSED,NO,HUT-056,GQKQ,GZBE,9BTN,MIGRAR
NAV-057,PASSED,NO,HUT-057,WEGE,9NRJ,PSY2,MIGRAR
NAV-058,PASSED,NO,,SFDU,QPFT,TQ4G,MIGRAR
NAV-059,PASSED,NO,HUT-059,RWQ4,HTH7,RNB8,MIGRAR
NAV-060,PASSED,NO,HUT-060,2NUU,9QPH,9VQZ,MIGRAR
NAV-061,PASSED,NO,HUT-061,J4XC,3J33,W3V7,MIGRAR
NAV-062,PASSED,NO,HUT-062,T493,Q3NY,J9MB,MIGRAR
NAV-064,PASSED,NO,HUT-064,P8TX,J7KP,EBFW,MIGRAR
NAV-065,PASSED,NO,HUT-065,7G8T,8DR9,T7QH,MIGRAR
